Facility Name,Facility ID,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
GREAT RIVER MEDICAL CENTER,40069,AR,READM-30-COPD-HRRP,,,0.9611,17.2478,17.9459,,2020-07-01,2023-06-30
GREAT RIVER MEDICAL CENTER,40069,AR,READM-30-PN-HRRP,66.0,,1.0469,16.5299,15.7898,14.0,2020-07-01,2023-06-30
GREAT RIVER MEDICAL CENTER,40069,AR,READM-30-HF-HRRP,,,1.0446,17.2327,16.4974,,2020-07-01,2023-06-30
JEFFERSON REGIONAL MEDICAL CENTER,40071,AR,READM-30-HIP-KNEE-HRRP,,,0.9037,4.034,4.4637,,2020-07-01,2023-06-30
JEFFERSON REGIONAL MEDICAL CENTER,40071,AR,READM-30-COPD-HRRP,144.0,,0.9569,16.4059,17.1442,21.0,2020-07-01,2023-06-30
JEFFERSON REGIONAL MEDICAL CENTER,40071,AR,READM-30-PN-HRRP,227.0,,1.1494,18.2723,15.8978,51.0,2020-07-01,2023-06-30
JEFFERSON REGIONAL MEDICAL CENTER,40071,AR,READM-30-HF-HRRP,352.0,,1.0221,20.2978,19.859,73.0,2020-07-01,2023-06-30
JEFFERSON REGIONAL MEDICAL CENTER,40071,AR,READM-30-AMI-HRRP,149.0,,1.0492,15.2235,14.5092,25.0,2020-07-01,2023-06-30
BAPTIST HEALTH MEDICAL CENTER-STUTTGART,40072,AR,READM-30-PN-HRRP,,,0.9555,12.7479,13.3411,,2020-07-01,2023-06-30
BAPTIST HEALTH MEDICAL CENTER-STUTTGART,40072,AR,READM-30-HF-HRRP,51.0,,1.0561,18.1602,17.1959,13.0,2020-07-01,2023-06-30
BAPTIST HEALTH MEDICAL CENTER-STUTTGART,40072,AR,READM-30-COPD-HRRP,,,0.9914,15.5515,15.6866,,2020-07-01,2023-06-30
BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,40076,AR,READM-30-PN-HRRP,,,1.016,12.8569,12.6545,,2020-07-01,2023-06-30
NATIONAL PARK MEDICAL CENTER,40078,AR,READM-30-HF-HRRP,186.0,,1.0194,19.1731,18.8085,37.0,2020-07-01,2023-06-30
NATIONAL PARK MEDICAL CENTER,40078,AR,READM-30-CABG-HRRP,,,0.9801,9.4946,9.6875,,2020-07-01,2023-06-30
NATIONAL PARK MEDICAL CENTER,40078,AR,READM-30-AMI-HRRP,85.0,,1.2142,15.0581,12.4018,22.0,2020-07-01,2023-06-30
NATIONAL PARK MEDICAL CENTER,40078,AR,READM-30-PN-HRRP,302.0,,0.9954,16.3279,16.4029,49.0,2020-07-01,2023-06-30
NATIONAL PARK MEDICAL CENTER,40078,AR,READM-30-COPD-HRRP,79.0,,1.0073,18.4184,18.2847,15.0,2020-07-01,2023-06-30
NATIONAL PARK MEDICAL CENTER,40078,AR,READM-30-HIP-KNEE-HRRP,,,1.212,5.283,4.3591,,2020-07-01,2023-06-30
SALINE MEMORIAL HOSPITAL,40084,AR,READM-30-PN-HRRP,166.0,,1.0788,15.6347,14.4925,31.0,2020-07-01,2023-06-30
SALINE MEMORIAL HOSPITAL,40084,AR,READM-30-HIP-KNEE-HRRP,,,1.1177,4.4749,4.0037,,2020-07-01,2023-06-30
SALINE MEMORIAL HOSPITAL,40084,AR,READM-30-AMI-HRRP,,,1.0249,12.4531,12.1509,,2020-07-01,2023-06-30
SALINE MEMORIAL HOSPITAL,40084,AR,READM-30-COPD-HRRP,91.0,,1.0009,16.4266,16.4123,15.0,2020-07-01,2023-06-30
SALINE MEMORIAL HOSPITAL,40084,AR,READM-30-HF-HRRP,129.0,,1.0588,20.1346,19.0163,30.0,2020-07-01,2023-06-30
SOUTH ARKANSAS REGIONAL HOSPITAL LLC,40088,AR,READM-30-HF-HRRP,165.0,,0.9094,17.9522,19.7409,23.0,2020-07-01,2023-06-30
SOUTH ARKANSAS REGIONAL HOSPITAL LLC,40088,AR,READM-30-PN-HRRP,169.0,,0.8993,12.9694,14.4211,15.0,2020-07-01,2023-06-30
SOUTH ARKANSAS REGIONAL HOSPITAL LLC,40088,AR,READM-30-COPD-HRRP,,,0.963,14.4273,14.9814,,2020-07-01,2023-06-30
SOUTH ARKANSAS REGIONAL HOSPITAL LLC,40088,AR,READM-30-AMI-HRRP,,,0.9577,12.978,13.5518,,2020-07-01,2023-06-30
SOUTH ARKANSAS REGIONAL HOSPITAL LLC,40088,AR,READM-30-HIP-KNEE-HRRP,,,1.0526,4.1049,3.8996,,2020-07-01,2023-06-30
BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,40114,AR,READM-30-CABG-HRRP,179.0,,0.9268,8.623,9.3036,13.0,2020-07-01,2023-06-30
BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,40114,AR,READM-30-COPD-HRRP,262.0,,0.9286,16.9775,18.2819,40.0,2020-07-01,2023-06-30
BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,40114,AR,READM-30-PN-HRRP,802.0,,1.025,15.8778,15.4899,129.0,2020-07-01,2023-06-30
BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,40114,AR,READM-30-HF-HRRP,690.0,,1.0675,20.7779,19.4646,148.0,2020-07-01,2023-06-30
BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,40114,AR,READM-30-AMI-HRRP,283.0,,0.9635,12.2843,12.7493,33.0,2020-07-01,2023-06-30
BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,40114,AR,READM-30-HIP-KNEE-HRRP,,,1.0488,5.3773,5.127,,2020-07-01,2023-06-30
"BAPTIST MEMORIAL HOSPITAL JONESBORO, INC.",40118,AR,READM-30-HF-HRRP,680.0,,1.0886,20.4447,18.7804,145.0,2020-07-01,2023-06-30
"BAPTIST MEMORIAL HOSPITAL JONESBORO, INC.",40118,AR,READM-30-AMI-HRRP,196.0,,1.1099,13.2827,11.9677,31.0,2020-07-01,2023-06-30
"BAPTIST MEMORIAL HOSPITAL JONESBORO, INC.",40118,AR,READM-30-COPD-HRRP,142.0,,1.0521,17.5639,16.6947,28.0,2020-07-01,2023-06-30
"BAPTIST MEMORIAL HOSPITAL JONESBORO, INC.",40118,AR,READM-30-PN-HRRP,597.0,,1.1011,17.4985,15.8925,111.0,2020-07-01,2023-06-30
"BAPTIST MEMORIAL HOSPITAL JONESBORO, INC.",40118,AR,READM-30-CABG-HRRP,,,0.9801,9.288,9.4768,,2020-07-01,2023-06-30
"BAPTIST MEMORIAL HOSPITAL JONESBORO, INC.",40118,AR,READM-30-HIP-KNEE-HRRP,,,1.021,6.6319,6.4956,,2020-07-01,2023-06-30
WHITE RIVER MEDICAL CENTER,40119,AR,READM-30-COPD-HRRP,151.0,,0.9325,18.7518,20.1086,24.0,2020-07-01,2023-06-30
WHITE RIVER MEDICAL CENTER,40119,AR,READM-30-AMI-HRRP,150.0,,0.9958,12.7992,12.8534,19.0,2020-07-01,2023-06-30
WHITE RIVER MEDICAL CENTER,40119,AR,READM-30-PN-HRRP,247.0,,1.0335,16.9097,16.3611,44.0,2020-07-01,2023-06-30
WHITE RIVER MEDICAL CENTER,40119,AR,READM-30-HF-HRRP,245.0,,0.9684,19.2861,19.9148,45.0,2020-07-01,2023-06-30
WHITE RIVER MEDICAL CENTER,40119,AR,READM-30-HIP-KNEE-HRRP,,,0.7394,3.5614,4.8167,,2020-07-01,2023-06-30
"ARKANSAS HEART HOSPITAL, LLC",40134,AR,READM-30-COPD-HRRP,,,0.9831,17.2372,17.5338,,2020-07-01,2023-06-30
"ARKANSAS HEART HOSPITAL, LLC",40134,AR,READM-30-PN-HRRP,157.0,,1.0585,16.0483,15.1619,29.0,2020-07-01,2023-06-30
"ARKANSAS HEART HOSPITAL, LLC",40134,AR,READM-30-AMI-HRRP,433.0,,0.9528,10.6743,11.203,44.0,2020-07-01,2023-06-30
"ARKANSAS HEART HOSPITAL, LLC",40134,AR,READM-30-CABG-HRRP,510.0,,1.0486,9.1137,8.691,48.0,2020-07-01,2023-06-30
"ARKANSAS HEART HOSPITAL, LLC",40134,AR,READM-30-HF-HRRP,538.0,,0.9929,18.3072,18.4383,98.0,2020-07-01,2023-06-30
ST VINCENT MEDICAL CENTER/NORTH,40137,AR,READM-30-HF-HRRP,,,0.9582,17.2868,18.0417,,2020-07-01,2023-06-30
ST VINCENT MEDICAL CENTER/NORTH,40137,AR,READM-30-AMI-HRRP,,,0.975,12.3776,12.6952,,2020-07-01,2023-06-30
ST VINCENT MEDICAL CENTER/NORTH,40137,AR,READM-30-PN-HRRP,72.0,,1.0114,15.6148,15.4393,12.0,2020-07-01,2023-06-30
ARKANSAS SURGICAL HOSPITAL,40147,AR,READM-30-HIP-KNEE-HRRP,2078.0,,0.6373,2.3871,3.7457,44.0,2020-07-01,2023-06-30
WADLEY REGIONAL MEDICAL CENTER AT HOPE,40153,AR,READM-30-PN-HRRP,,,0.9617,12.763,13.2706,,2020-07-01,2023-06-30
WADLEY REGIONAL MEDICAL CENTER AT HOPE,40153,AR,READM-30-HF-HRRP,,,1.0349,19.3755,18.7224,,2020-07-01,2023-06-30
BAPTIST HEALTH MEDICAL CENTER- CONWAY,40154,AR,READM-30-COPD-HRRP,75.0,,1.0118,17.7102,17.5033,14.0,2020-07-01,2023-06-30
BAPTIST HEALTH MEDICAL CENTER- CONWAY,40154,AR,READM-30-PN-HRRP,250.0,,1.0321,16.3462,15.8386,43.0,2020-07-01,2023-06-30
BAPTIST HEALTH MEDICAL CENTER- CONWAY,40154,AR,READM-30-AMI-HRRP,,,0.9407,11.9086,12.6598,,2020-07-01,2023-06-30
BAPTIST HEALTH MEDICAL CENTER- CONWAY,40154,AR,READM-30-HIP-KNEE-HRRP,,,0.9201,8.5617,9.3053,,2020-07-01,2023-06-30
BAPTIST HEALTH MEDICAL CENTER- CONWAY,40154,AR,READM-30-HF-HRRP,199.0,,1.0435,20.1024,19.2646,43.0,2020-07-01,2023-06-30
"BAPTIST MEMORIAL HOSPITAL-CRITTENDEN, INC",40156,AR,READM-30-PN-HRRP,,,0.9821,14.0585,14.3145,,2020-07-01,2023-06-30
"BAPTIST MEMORIAL HOSPITAL-CRITTENDEN, INC",40156,AR,READM-30-HF-HRRP,,,1.0412,18.8769,18.1302,,2020-07-01,2023-06-30
ARKANSAS HEART HOSPITAL-ENCORE,40161,AR,READM-30-COPD-HRRP,,,1.0158,18.8178,18.5256,,2020-07-01,2023-06-30
ARKANSAS HEART HOSPITAL-ENCORE,40161,AR,READM-30-HF-HRRP,98.0,,1.1344,21.5117,18.9622,30.0,2020-07-01,2023-06-30
ARKANSAS HEART HOSPITAL-ENCORE,40161,AR,READM-30-PN-HRRP,80.0,,1.0137,16.3339,16.1128,14.0,2020-07-01,2023-06-30
ARKANSAS HEART HOSPITAL-ENCORE,40161,AR,READM-30-AMI-HRRP,,,0.9879,11.346,11.4852,,2020-07-01,2023-06-30
ST ROSE HOSPITAL,50002,CA,READM-30-HIP-KNEE-HRRP,,,1.1869,4.2237,3.5584,,2020-07-01,2023-06-30
ST ROSE HOSPITAL,50002,CA,READM-30-HF-HRRP,112.0,,1.0693,20.7553,19.4105,28.0,2020-07-01,2023-06-30
ST ROSE HOSPITAL,50002,CA,READM-30-COPD-HRRP,56.0,,1.092,17.3774,15.9138,15.0,2020-07-01,2023-06-30
ST ROSE HOSPITAL,50002,CA,READM-30-PN-HRRP,120.0,,1.0788,17.3655,16.0963,26.0,2020-07-01,2023-06-30
ST ROSE HOSPITAL,50002,CA,READM-30-AMI-HRRP,,,1.0083,16.4746,16.3396,,2020-07-01,2023-06-30
PROVIDENCE ST JOSEPH HOSPITAL,50006,CA,READM-30-HF-HRRP,406.0,,0.8692,17.9348,20.6331,63.0,2020-07-01,2023-06-30
PROVIDENCE ST JOSEPH HOSPITAL,50006,CA,READM-30-HIP-KNEE-HRRP,,,0.8956,3.588,4.006,,2020-07-01,2023-06-30
PROVIDENCE ST JOSEPH HOSPITAL,50006,CA,READM-30-AMI-HRRP,187.0,,0.8924,11.9378,13.3774,17.0,2020-07-01,2023-06-30
PROVIDENCE ST JOSEPH HOSPITAL,50006,CA,READM-30-CABG-HRRP,,,1.016,11.2178,11.0413,,2020-07-01,2023-06-30
PROVIDENCE ST JOSEPH HOSPITAL,50006,CA,READM-30-PN-HRRP,374.0,,0.9283,15.5101,16.7079,53.0,2020-07-01,2023-06-30
PROVIDENCE ST JOSEPH HOSPITAL,50006,CA,READM-30-COPD-HRRP,83.0,,1.0119,20.7845,20.5407,18.0,2020-07-01,2023-06-30
PENINSULA MEDICAL CENTER,50007,CA,READM-30-COPD-HRRP,,,0.9492,15.4944,16.3236,,2020-07-01,2023-06-30
PENINSULA MEDICAL CENTER,50007,CA,READM-30-CABG-HRRP,,,1.0458,10.9753,10.4949,,2020-07-01,2023-06-30
PENINSULA MEDICAL CENTER,50007,CA,READM-30-HF-HRRP,526.0,,0.966,18.3252,18.9694,94.0,2020-07-01,2023-06-30
PENINSULA MEDICAL CENTER,50007,CA,READM-30-AMI-HRRP,195.0,,0.9179,12.8842,14.0368,21.0,2020-07-01,2023-06-30
PENINSULA MEDICAL CENTER,50007,CA,READM-30-PN-HRRP,192.0,,0.9904,14.396,14.5358,27.0,2020-07-01,2023-06-30
PENINSULA MEDICAL CENTER,50007,CA,READM-30-HIP-KNEE-HRRP,,,0.8405,4.2961,5.1113,,2020-07-01,2023-06-30
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,50008,CA,READM-30-PN-HRRP,,,1.0329,14.8065,14.3343,,2020-07-01,2023-06-30
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,50008,CA,READM-30-HF-HRRP,71.0,,1.0519,18.9748,18.0379,17.0,2020-07-01,2023-06-30
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,50008,CA,READM-30-HIP-KNEE-HRRP,,,0.88,3.1496,3.5791,,2020-07-01,2023-06-30
PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,50009,CA,READM-30-COPD-HRRP,79.0,,0.9473,20.8473,22.0073,13.0,2020-07-01,2023-06-30
PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,50009,CA,READM-30-CABG-HRRP,35.0,,1.1795,15.1864,12.8753,11.0,2020-07-01,2023-06-30
PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,50009,CA,READM-30-PN-HRRP,280.0,,0.9297,15.3309,16.491,38.0,2020-07-01,2023-06-30
PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,50009,CA,READM-30-AMI-HRRP,124.0,,1.0342,15.609,15.0925,21.0,2020-07-01,2023-06-30
PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,50009,CA,READM-30-HF-HRRP,286.0,,0.9754,19.4985,19.9912,54.0,2020-07-01,2023-06-30
ADVENTIST HEALTH ST HELENA,50013,CA,READM-30-PN-HRRP,,,0.9171,16.8702,18.3956,,2020-07-01,2023-06-30
ADVENTIST HEALTH ST HELENA,50013,CA,READM-30-HF-HRRP,177.0,,0.9603,19.1335,19.925,31.0,2020-07-01,2023-06-30
ADVENTIST HEALTH ST HELENA,50013,CA,READM-30-HIP-KNEE-HRRP,,,0.9301,5.9087,6.3527,,2020-07-01,2023-06-30
ADVENTIST HEALTH ST HELENA,50013,CA,READM-30-COPD-HRRP,,,0.9699,19.859,20.4762,,2020-07-01,2023-06-30
ADVENTIST HEALTH ST HELENA,50013,CA,READM-30-AMI-HRRP,200.0,,0.9483,11.7469,12.3878,21.0,2020-07-01,2023-06-30
ADVENTIST HEALTH ST HELENA,50013,CA,READM-30-CABG-HRRP,,,1.0014,11.0056,10.9899,,2020-07-01,2023-06-30
SUTTER AMADOR HOSPITAL,50014,CA,READM-30-COPD-HRRP,,,0.939,15.4652,16.4701,,2020-07-01,2023-06-30
SUTTER AMADOR HOSPITAL,50014,CA,READM-30-HIP-KNEE-HRRP,,,1.0997,4.5817,4.1665,,2020-07-01,2023-06-30
SUTTER AMADOR HOSPITAL,50014,CA,READM-30-HF-HRRP,129.0,,0.9718,17.0136,17.5074,20.0,2020-07-01,2023-06-30
SUTTER AMADOR HOSPITAL,50014,CA,READM-30-PN-HRRP,161.0,,0.9328,12.7265,13.6433,16.0,2020-07-01,2023-06-30
MERCY GENERAL HOSPITAL,50017,CA,READM-30-HF-HRRP,469.0,,1.0644,20.3831,19.1504,100.0,2020-07-01,2023-06-30
MERCY GENERAL HOSPITAL,50017,CA,READM-30-COPD-HRRP,71.0,,1.0146,21.2337,20.9273,16.0,2020-07-01,2023-06-30
MERCY GENERAL HOSPITAL,50017,CA,READM-30-AMI-HRRP,491.0,,1.0215,14.0484,13.7524,70.0,2020-07-01,2023-06-30
MERCY GENERAL HOSPITAL,50017,CA,READM-30-CABG-HRRP,107.0,,1.0378,11.9237,11.4894,14.0,2020-07-01,2023-06-30
MERCY GENERAL HOSPITAL,50017,CA,READM-30-HIP-KNEE-HRRP,,,0.9789,4.1868,4.2773,,2020-07-01,2023-06-30
MERCY GENERAL HOSPITAL,50017,CA,READM-30-PN-HRRP,225.0,,1.0598,17.7771,16.7748,44.0,2020-07-01,2023-06-30
RIVERSIDE COMMUNITY HOSPITAL,50022,CA,READM-30-HF-HRRP,278.0,,1.0601,23.9776,22.6171,71.0,2020-07-01,2023-06-30
RIVERSIDE COMMUNITY HOSPITAL,50022,CA,READM-30-COPD-HRRP,73.0,,1.0766,22.271,20.6872,21.0,2020-07-01,2023-06-30
RIVERSIDE COMMUNITY HOSPITAL,50022,CA,READM-30-CABG-HRRP,,,1.0538,13.5997,12.9048,,2020-07-01,2023-06-30
RIVERSIDE COMMUNITY HOSPITAL,50022,CA,READM-30-HIP-KNEE-HRRP,,,1.1755,5.2649,4.4789,,2020-07-01,2023-06-30
RIVERSIDE COMMUNITY HOSPITAL,50022,CA,READM-30-PN-HRRP,303.0,,0.9801,18.619,18.9979,55.0,2020-07-01,2023-06-30
RIVERSIDE COMMUNITY HOSPITAL,50022,CA,READM-30-AMI-HRRP,175.0,,1.0411,16.5555,15.9019,31.0,2020-07-01,2023-06-30
PARADISE VALLEY HOSPITAL,50024,CA,READM-30-HF-HRRP,88.0,,1.047,22.3383,21.3362,23.0,2020-07-01,2023-06-30
PARADISE VALLEY HOSPITAL,50024,CA,READM-30-AMI-HRRP,,,1.0242,18.1015,17.674,,2020-07-01,2023-06-30
PARADISE VALLEY HOSPITAL,50024,CA,READM-30-COPD-HRRP,29.0,,1.0558,25.1205,23.792,11.0,2020-07-01,2023-06-30
PARADISE VALLEY HOSPITAL,50024,CA,READM-30-PN-HRRP,83.0,,1.0146,19.2574,18.9807,17.0,2020-07-01,2023-06-30
UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,50025,CA,READM-30-HIP-KNEE-HRRP,,,1.1254,5.3273,4.7339,,2020-07-01,2023-06-30
UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,50025,CA,READM-30-COPD-HRRP,98.0,,1.0754,22.7766,21.1802,27.0,2020-07-01,2023-06-30
UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,50025,CA,READM-30-PN-HRRP,558.0,,1.006,18.9205,18.8068,106.0,2020-07-01,2023-06-30
UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,50025,CA,READM-30-CABG-HRRP,111.0,,0.9746,11.5995,11.9015,12.0,2020-07-01,2023-06-30
UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,50025,CA,READM-30-HF-HRRP,553.0,,0.9671,19.5954,20.2612,106.0,2020-07-01,2023-06-30
UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,50025,CA,READM-30-AMI-HRRP,243.0,,0.9201,12.75,13.8566,27.0,2020-07-01,2023-06-30
GROSSMONT HOSPITAL,50026,CA,READM-30-HF-HRRP,500.0,,0.9687,19.6524,20.288,96.0,2020-07-01,2023-06-30
GROSSMONT HOSPITAL,50026,CA,READM-30-COPD-HRRP,269.0,,1.0229,21.0231,20.5526,58.0,2020-07-01,2023-06-30
GROSSMONT HOSPITAL,50026,CA,READM-30-AMI-HRRP,176.0,,1.1759,15.9473,13.562,36.0,2020-07-01,2023-06-30
GROSSMONT HOSPITAL,50026,CA,READM-30-CABG-HRRP,,,1.0845,11.5045,10.6083,,2020-07-01,2023-06-30
GROSSMONT HOSPITAL,50026,CA,READM-30-PN-HRRP,512.0,,1.0219,17.0915,16.7246,89.0,2020-07-01,2023-06-30
GROSSMONT HOSPITAL,50026,CA,READM-30-HIP-KNEE-HRRP,,,1.0561,5.4044,5.1173,,2020-07-01,2023-06-30
MAD RIVER COMMUNITY HOSPITAL,50028,CA,READM-30-COPD-HRRP,,,0.9732,16.0517,16.4933,,2020-07-01,2023-06-30
MAD RIVER COMMUNITY HOSPITAL,50028,CA,READM-30-PN-HRRP,92.0,,1.0498,16.0167,15.2574,18.0,2020-07-01,2023-06-30
MAD RIVER COMMUNITY HOSPITAL,50028,CA,READM-30-HF-HRRP,,,0.9624,19.2217,19.9737,,2020-07-01,2023-06-30
OROVILLE HOSPITAL,50030,CA,READM-30-PN-HRRP,796.0,,1.4919,25.7715,17.2744,234.0,2020-07-01,2023-06-30
OROVILLE HOSPITAL,50030,CA,READM-30-HF-HRRP,309.0,,1.307,24.4703,18.723,95.0,2020-07-01,2023-06-30
OROVILLE HOSPITAL,50030,CA,READM-30-COPD-HRRP,101.0,,1.2768,26.4914,20.7483,43.0,2020-07-01,2023-06-30
OROVILLE HOSPITAL,50030,CA,READM-30-AMI-HRRP,60.0,,1.1092,17.9712,16.2013,16.0,2020-07-01,2023-06-30
OROVILLE HOSPITAL,50030,CA,READM-30-HIP-KNEE-HRRP,,,1.0643,5.5329,5.1985,,2020-07-01,2023-06-30
BAKERSFIELD MEMORIAL HOSPITAL,50036,CA,READM-30-HIP-KNEE-HRRP,,,0.9191,5.3257,5.7945,,2020-07-01,2023-06-30
BAKERSFIELD MEMORIAL HOSPITAL,50036,CA,READM-30-COPD-HRRP,113.0,,1.0612,19.6977,18.5621,26.0,2020-07-01,2023-06-30
BAKERSFIELD MEMORIAL HOSPITAL,50036,CA,READM-30-HF-HRRP,334.0,,1.075,22.3792,20.8176,80.0,2020-07-01,2023-06-30
BAKERSFIELD MEMORIAL HOSPITAL,50036,CA,READM-30-PN-HRRP,220.0,,1.0037,17.1556,17.0917,38.0,2020-07-01,2023-06-30
BAKERSFIELD MEMORIAL HOSPITAL,50036,CA,READM-30-AMI-HRRP,146.0,,0.9966,13.8128,13.8603,20.0,2020-07-01,2023-06-30
SANTA CLARA VALLEY MEDICAL CENTER,50038,CA,READM-30-PN-HRRP,536.0,,1.0397,17.5937,16.9219,97.0,2020-07-01,2023-06-30
SANTA CLARA VALLEY MEDICAL CENTER,50038,CA,READM-30-HF-HRRP,663.0,,1.0105,20.852,20.6344,139.0,2020-07-01,2023-06-30
SANTA CLARA VALLEY MEDICAL CENTER,50038,CA,READM-30-COPD-HRRP,128.0,,1.0233,19.9609,19.5058,27.0,2020-07-01,2023-06-30
SANTA CLARA VALLEY MEDICAL CENTER,50038,CA,READM-30-AMI-HRRP,170.0,,1.1431,20.0694,17.5575,41.0,2020-07-01,2023-06-30
SANTA CLARA VALLEY MEDICAL CENTER,50038,CA,READM-30-CABG-HRRP,,,1.0889,13.1282,12.0568,,2020-07-01,2023-06-30
SANTA CLARA VALLEY MEDICAL CENTER,50038,CA,READM-30-HIP-KNEE-HRRP,,,1.2307,5.3022,4.3084,,2020-07-01,2023-06-30
ENLOE HEALTH,50039,CA,READM-30-PN-HRRP,1011.0,,1.2053,19.4904,16.1706,210.0,2020-07-01,2023-06-30
ENLOE HEALTH,50039,CA,READM-30-CABG-HRRP,135.0,,0.9601,10.6291,11.0702,13.0,2020-07-01,2023-06-30
ENLOE HEALTH,50039,CA,READM-30-HIP-KNEE-HRRP,926.0,,0.9294,3.988,4.2907,36.0,2020-07-01,2023-06-30
ENLOE HEALTH,50039,CA,READM-30-HF-HRRP,1364.0,,1.1186,21.555,19.269,302.0,2020-07-01,2023-06-30
ENLOE HEALTH,50039,CA,READM-30-COPD-HRRP,617.0,,1.0728,19.0725,17.7782,122.0,2020-07-01,2023-06-30
ENLOE HEALTH,50039,CA,READM-30-AMI-HRRP,448.0,,1.1522,15.649,13.5817,77.0,2020-07-01,2023-06-30
LAC/OLIVE VIEW-UCLA MEDICAL CENTER,50040,CA,READM-30-HF-HRRP,88.0,,1.0194,22.2824,21.859,21.0,2020-07-01,2023-06-30
LAC/OLIVE VIEW-UCLA MEDICAL CENTER,50040,CA,READM-30-PN-HRRP,61.0,,0.9921,18.9378,19.0886,11.0,2020-07-01,2023-06-30
ST ELIZABETH COMMUNITY HOSPITAL,50042,CA,READM-30-COPD-HRRP,79.0,,0.9671,19.1167,19.7663,13.0,2020-07-01,2023-06-30
ST ELIZABETH COMMUNITY HOSPITAL,50042,CA,READM-30-HF-HRRP,168.0,,1.0273,19.7125,19.1895,35.0,2020-07-01,2023-06-30
ST ELIZABETH COMMUNITY HOSPITAL,50042,CA,READM-30-PN-HRRP,138.0,,1.0174,15.8293,15.5588,23.0,2020-07-01,2023-06-30
ALTA BATES SUMMIT MEDICAL CENTER,50043,CA,READM-30-PN-HRRP,265.0,,0.9967,17.0656,17.1215,45.0,2020-07-01,2023-06-30
ALTA BATES SUMMIT MEDICAL CENTER,50043,CA,READM-30-HF-HRRP,574.0,,0.9634,19.2727,20.005,108.0,2020-07-01,2023-06-30
ALTA BATES SUMMIT MEDICAL CENTER,50043,CA,READM-30-COPD-HRRP,92.0,,1.0435,19.9161,19.0852,21.0,2020-07-01,2023-06-30
ALTA BATES SUMMIT MEDICAL CENTER,50043,CA,READM-30-AMI-HRRP,340.0,,0.9353,13.6001,14.5402,43.0,2020-07-01,2023-06-30
ALTA BATES SUMMIT MEDICAL CENTER,50043,CA,READM-30-CABG-HRRP,,,0.8864,11.2549,12.6973,,2020-07-01,2023-06-30
ALTA BATES SUMMIT MEDICAL CENTER,50043,CA,READM-30-HIP-KNEE-HRRP,,,1.1646,5.2719,4.5268,,2020-07-01,2023-06-30
EL CENTRO REGIONAL MEDICAL CENTER,50045,CA,READM-30-COPD-HRRP,,,0.9819,19.2939,19.6489,,2020-07-01,2023-06-30
EL CENTRO REGIONAL MEDICAL CENTER,50045,CA,READM-30-PN-HRRP,278.0,,1.0114,15.9102,15.7308,45.0,2020-07-01,2023-06-30
EL CENTRO REGIONAL MEDICAL CENTER,50045,CA,READM-30-HF-HRRP,200.0,,1.0436,19.9911,19.1551,43.0,2020-07-01,2023-06-30
CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,50047,CA,READM-30-PN-HRRP,179.0,,1.1239,17.9021,15.9281,40.0,2020-07-01,2023-06-30
CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,50047,CA,READM-30-HF-HRRP,473.0,,1.004,19.813,19.7333,94.0,2020-07-01,2023-06-30
CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,50047,CA,READM-30-COPD-HRRP,,,0.9641,19.9257,20.6684,,2020-07-01,2023-06-30
CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,50047,CA,READM-30-AMI-HRRP,189.0,,1.0825,15.4144,14.24,33.0,2020-07-01,2023-06-30
CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,50047,CA,READM-30-CABG-HRRP,,,0.9748,9.2474,9.486,,2020-07-01,2023-06-30
SAN GORGONIO MEMORIAL HOSPITAL,50054,CA,READM-30-COPD-HRRP,,,0.9582,16.5062,17.2268,,2020-07-01,2023-06-30
